title,author,publisher,library,provider,platform,image_url,isbn
"더블 : 두 구의 시체, 두 명의 살인자",정해연,해피북스투유,영등포구 도서관,YES24,YES24,/images/bookimg/L_1575406.jpg,
모든 감정의 끝은 감사함으로,김태형,아루이,영등포구 도서관,YES24,YES24,/images/bookimg/L_1577198.jpg,
열정 기차의 파우제,박자연,미리내 명상책방,영등포구 도서관,YES24,YES24,/images/bookimg/L_1579385.jpg,
부자의 인문학 : 돈의 흐름을 읽고 경제의 정곡을 찌르는,가야 게이치,문예춘추사,영등포구 도서관,YES24,YES24,/images/bookimg/L_1558891.jpg,
오늘부터 작심만일,나건일,비즈니스북스,영등포구 도서관,YES24,YES24,/images/bookimg/406906422.jpg,
몸으로 읽는 세계사,"캐스린 페트라스,로스 페트라스 공저",다산초당,영등포구 도서관,YES24,YES24,/images/bookimg/407802997(1).jpg,
비전공이지만 개발자로 먹고삽니다,"반병현,이효석 공저",생능북스,영등포구 도서관,YES24,YES24,/images/bookimg/402755394.jpg,
조용한 퇴사 : MZ세대가 조직을 버리는 이유,이호건,월요일의꿈,영등포구 도서관,YES24,YES24,/images/bookimg/405498960.jpg,
"신경 끄기 연습 : 걱정, 초조, 두려움을 뛰어넘는 61가지 심리 기술",나이토 요시히토,유노책주,영등포구 도서관,YES24,YES24,/images/bookimg/404899049.jpg,
사라진 시간 vs살아진 시간,장윤주,유페이퍼,영등포구 도서관,YES24,YES24,/images/bookimg/L_1576558.jpg,
사랑은 마지막에 이루어진다.,조애리,아루이,영등포구 도서관,YES24,YES24,/images/bookimg/L_1577225.jpg,
반드시 다가올 미래,남성현,포르체,영등포구 도서관,YES24,YES24,/images/bookimg/404476404.jpg,
일인 회사의 일일 생존 습관 : 스스로 브랜드가 되는 법,우현수,좋은습관연구소,영등포구 도서관,YES24,YES24,/images/bookimg/405993595(1).jpg,
단 한 번밖에 살 수 없다면 인문고전을 읽어라,김부건,밀리언서재,영등포구 도서관,YES24,YES24,/images/bookimg/404655419.jpg,
광개토태왕 담덕 4 : 고구려 천하관,엄광용,새움,영등포구 도서관,YES24,YES24,/images/bookimg/404799275.jpg,
어른의 중력  : 생의 1/4 승강장에 도착한 어린 어른을 위한 심리학,사티아 도일 바이오크,윌북(willbook),영등포구 도서관,YES24,YES24,/images/bookimg/403498721.jpg,
밥 프록터의 위대한 확언,밥 프록터,페이지2,영등포구 도서관,YES24,YES24,/images/bookimg/405295154.jpg,
김진명의 한국사 X파일,김진명,새움,영등포구 도서관,YES24,YES24,/images/bookimg/104274753.jpg,
엄마의 부동산 시크릿,이채민 (재벌맘),유페이퍼,영등포구 도서관,YES24,YES24,/images/bookimg/L_1582398.jpg,
"모든 것이 괜찮아지는 기술 : 불안, 분노, 스트레스로부터 나를 지키는 심리 기술",데런 브라운,너를위한,영등포구 도서관,YES24,YES24,/images/bookimg/L_1572797.jpg,
열린 어둠,렌조 미키히코,모모,영등포구 도서관,YES24,YES24,/images/bookimg/L_1578427.jpg,
더 바이브 The Vibe,이하영,미다스북스(리틀미다스),영등포구 도서관,YES24,YES24,/images/bookimg/374048679.jpg,
이번생은 정말 망했을까,루비쥬,유페이퍼,영등포구 도서관,YES24,YES24,/images/bookimg/L_1592053.jpg,
