title,author,publisher,library,image_url
블랙홀,브라이언 콕스,알에이치코리아_디지털컨텐츠,서울시교육청 (소장 / 교보문고),https://e-lib.sen.go.kr:8095/upload/20785/content/ebook/480KB8925573939/L480KB8925573939.jpg
세계 경제 지각 변동,박종훈,(주) 지식경제연구소,서울시교육청 (소장 / 교보문고),https://e-lib.sen.go.kr:8095/upload/20785/content/ebook/480KB1198987632/L480KB1198987632.jpg
청루미의 별,청청팥팥,서울특별시강서양천교육지원청 행정지원과 감사팀,서울시교육청 (소장 / 서울시 교육청),https://e-lib.sen.go.kr/contImg/libropia/9788900000131.jpg
 (계간)서울교육(2025.겨울),서울특별시교육청교육연구정보원육,서울특별시교육청교육연구정보원육,서울시교육청 (소장 / 서울시 교육청),https://e-lib.sen.go.kr/contImg/libropia/9788900000132.jpg
지금서울교육(2025.12.),서울시교육청,서울시교육청,서울시교육청 (소장 / 서울시 교육청),https://e-lib.sen.go.kr/contImg/libropia/9788900000133.jpg
"폭주하는 남성성 : 폭력과 가해, 격분과 괴롭힘, 임계점을 넘은 해로운 남성성들의 등장","한국성폭력상담소 기획, 권김현영 저자, 김효정 저자, 유호정 저자, 이리예 저자, 이우창 저자, 이한 저자, 추지현 저자, 황유나 저자",동녘,서울시교육청 (소장 / 인터파크),https://e-lib.sen.go.kr/OPENS/IPAPRIKA/cover/978IP8972971771.jpg
세계를 움직인 열 가지 프레임,수바드라 다스,북하우스퍼블리셔스,서울시교육청 (소장 / 웅진OPMS),https://e-lib.sen.go.kr/OPENS/BOOXEN/cover/9791164052622.jpg
요괴의 아이를 돌봐드립니다 1,히로시마 레이코 글 ;미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000138630.JPG
"회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글 - 챗GPT&AI활용, 모든 버전 사용 가능, 전면 개정판",전미진.이화진.신면철 지음,한빛미디어,서울시교육청 (소장 / 알라딘),https://e-lib.sen.go.kr/OPENS/ALADIN/cover/370632596.jpg
150분이면 충분한 중고등학교 기초 수학,요네다 마사타카 지음 ;손민규 옮김,제이펍,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000165654.JPG
한 권으로 끝내는 절세 배당 은퇴 공식,김제림 지음,매일경제신문사,서울시교육청 (소장 / 알라딘),https://e-lib.sen.go.kr/OPENS/ALADIN/cover/369171790.jpg
"코드 너머, 회사보다 오래 남을 개발자 - 소프트 스킬·개발문화·퍼스널 브랜딩으로 확보하는 결정적 경쟁력",김상기 외 지음,한빛미디어,서울시교육청 (소장 / 알라딘),https://e-lib.sen.go.kr/OPENS/ALADIN/cover/367653559.jpg
(인공지능이 다 해주는) 브루 Vrew 영상 편집,지현이 지음,시프트,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000163740.JPG
(Luvit) 나의 첫 타입스크립트 프로젝트,조용수 지음,제이펍,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000168823.JPG
