title,author,publisher,library,image_url,isbn
소통유머 : 인간관계의 장벽을 뛰어넘는,김진배,나무생각,동작구 구립도서관 (교보),,
여자아이 키울 때 꼭 알아야 할 것들 : 0세부터 사춘기까지 여자아이 육아법,모로토미 요시히코,나무생각,동작구 구립도서관 (교보),,
(오경택의) 거시기 머시기 유머 : 대한민국 행복전도사 유머강사1호,오경택,모아북스,동작구 구립도서관 (교보),,
협상의 힘 : 원하는 것을 기분 좋게 얻어내는 소통의 기술,조슈아 N. 와이스,비전코리아,동작구 구립도서관 (교보),,
(인생을 성공으로 이끄는) 유쾌한 유머 : 성공해서 웃는 것이 아니라 웃다 보니 성공했다,김진배,나무생각,동작구 구립도서관 (교보),,
나를 사랑하라 그리고 다시 일어나라,"린지 홀, 리 콘",브라운힐,동작구 구립도서관 (교보),,
다이어트 정석은 잊어라,이준숙,모아북스,동작구 구립도서관 (교보),,
뤼팽과 홈즈의 대결,모리스 르블랑,브라운힐,동작구 구립도서관 (교보),,
마지막 잎새,오 헨리,브라운힐,동작구 구립도서관 (교보),,
변신 외,프란츠 카프카,브라운힐,동작구 구립도서관 (교보),,
사랑하는 아들아 인생을 이렇게 준비해라,필립 체스터필드,브라운힐,동작구 구립도서관 (교보),,
셜록 홈즈 Best 12,아서 코난 도일,브라운힐,동작구 구립도서관 (교보),,
오만과 편견,제인 오스틴,브라운힐,동작구 구립도서관 (교보),,
우리 아이의 인생그릇은 타고난다,여동재,나비의활주로,동작구 구립도서관 (교보),,
(카네기에게 배우는) 인간관계의 기본원리,데일 카네기,브라운힐,동작구 구립도서관 (교보),,
좁은 문,앙드레 지드,브라운힐,동작구 구립도서관 (교보),,
주홍 글씨,너대니얼 호손,브라운힐,동작구 구립도서관 (교보),,
마음을 읽어주는 유쾌한 남녀 대화법 - 가족과 직장편,이정숙,나무생각,동작구 구립도서관 (교보),,
마음을 읽어주는 유쾌한 남녀 대화법 - 연애편,이정숙,나무생각,동작구 구립도서관 (교보),,
마음을 읽어주는 유쾌한 남녀 대화법 - 결혼편,이정숙,나무생각,동작구 구립도서관 (교보),,
NEW 대한민국에서 가장 쉬운 문법책,"김창배, 김현구",와이비엠,동작구 구립도서관 (교보),,
"꿈이 없는 나, 꿈에 다가서다",김샛별 외 4,IWELL,동작구 구립도서관 (교보),,
엄니,이영기,IWELL,동작구 구립도서관 (교보),,
일탈 1,강지호,IWELL,동작구 구립도서관 (교보),,
일탈 2,강지호,IWELL,동작구 구립도서관 (교보),,
부모 심리 아이 심리 : 심리학자 황상민 교수의 자녀교육 솔루션,황상민,경향미디어,동작구 구립도서관 (교보),,
킹스 스피치,"마크 로그, 피터 콘라디",스크린셀러,동작구 구립도서관 (교보),,
화내지 않고 내 아이 키우기,신철희,경향미디어,동작구 구립도서관 (교보),,
조선 명탐정 정약용. 1 : 이수광 장편소설,이수광,산호와진주,동작구 구립도서관 (교보),,
조선 명탐정 정약용. 2 : 이수광 장편소설,이수광,산호와진주,동작구 구립도서관 (교보),,
세계를 누비는 경영 천재들,한만수,한스앤리,동작구 구립도서관 (교보),,
그는 어떻게 이순신이 되었나 : 마흔 살에 깨달은 이순신의 힘,박종평,스타북스,동작구 구립도서관 (교보),,
신데렐라 카니발,"안드레아스 프란츠, 다니엘 홀베",도서출판 예문,동작구 구립도서관 (교보),,
(한 권으로 끝내는) 와인특강- 개정판,전상헌,도서출판 예문,동작구 구립도서관 (교보),,
영 블론드 데드,안드레아스 프란츠,도서출판 예문,동작구 구립도서관 (교보),,
[필독서 따라잡기] 국부론(애덤 스미스),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 맥도날드 그리고 맥도날드화(조지 리처),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 철도 여행의 역사(볼프강 쉬벨부쉬),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 역사란 무엇인가(E.H.카),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 감시와 처벌(미셸 푸코),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 소유의 종말(제러미 리프킨),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 에밀(장 자크 루소),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 니코마코스 윤리학(아리스토텔레스),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 슬픈 열대(C.레비-스트로스),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 변신(프란츠 카프카),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 장자,베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 미디어의 이해(마셜 맥루언),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 까라마조프 씨네 형제들(도스또예프스끼),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 논어(공자),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 오리엔탈리즘(에드워드 사이드),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 난장이가 쏘아올린 작은 공(조세희),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 오래된 미래(헬레나 노르베리 호지),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 맹자집주,베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 소비의 사회(장 보드리야르),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 군주론(니콜로 마키아벨리),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
"[필독서 따라잡기] 계몽의 변증법(Th.W.아도르노, M.호르크하이머)",베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 순자,베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
"[필독서 따라잡기] 조화로운 삶(헬렌 니어링, 스코트 니어링)",베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
