title,author,publisher,library,provider,platform,image_url,isbn
너의 성격을 숫자로 평가해보겠습니다,박재용,엠아이디미디어,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147099852/M,
진짜의 마인드 : 삶의 본질에 집중하는 태도에 관하여,김찬희(김진짜),터닝페이지,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147640772/M,
다시는 실패하지 않는 미라클모닝 : 7년차 미라클모닝 전문가의 실전 안내서,한우수,작가와,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147752023/M,
이별은 모차르트,나카야마 시치리,블루홀식스(블루홀6),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147752534/M,
시계 도둑과 악인들,유키 하루오,블루홀식스(블루홀6),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147752535/M,
아이들의 집,정보라,열림원,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148349755/M,
마케팅한다는 착각,세리자와 렌,알에이치코리아(RHK),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147627340/M,
식탐 해방 : 살찌지 않는 뇌를 만드는 21일 식습관 혁명,저드슨 브루어,푸른숲,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147652240/M,
마음은 사라지지 않는다,틱낫한,알에이치코리아(RHK),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147569454/M,
창조적 영감에 관하여 : 천천히 사유할 때 얻는 진정한 통찰의 기쁨,머리나 밴줄렌,다산초당,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147627345/M,
"완벽하지 않아도 조금씩, 제로 웨이스트 : 서툴러도 할 수 있는 만큼 실천하는 제로 웨이스트 살림",정주혜(어느덧오늘),시대인,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147754814/M,
스티커,김선미,다산책방,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147841863/M,
뉴욕 양말 탐정단,샤넬 밀러 글,보물창고,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147855098/M,
발굴한 신의 흔적들 : 고고학으로 보는 고대근동의 성경이야기,이삭,PCKBOOKS,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147859542/M,
인생의 컨닝페이퍼,박종경,토네이도,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147870058/M,
소도둑 성장기,함윤이,위즈덤하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147871886/M,
동물들의 소셜 네트워크 : 인간보다 정교한 동물들의 소통에 관한 탐구,리 앨런 듀가킨,동아엠앤비,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148040023/M,
"양자역학의 결정적 순간들 : 양자역학 탄생 100주년, 중첩과 얽힘이 만든 신비로운 세계",박인규,21세기북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148090056/M,
노화 해방 : 생체 나이를 거꾸로 돌리는 저속노화 프로젝트,장 마르크 르메트르,21세기북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148091154/M,
인생에 달리기가 필요한 시간,권은주,트랙원,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147816122/M,
좀비 영화 속 생명과학 빼먹기 : 2024 문화체육관광부 제작 지원 선정 도서,루카,글씨앗,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148491139/M,
불멸의 유전자,리처드 도킨스,을유문화사,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148040010/M,
합리적 낙관주의자 : 삶을 무너뜨리는 건 사건이 아니라 해석이다,수 바르마,흐름출판,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148040013/M,
붙잡지 않는 삶,에크하르트 톨레,스노우폭스북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148064831/M,
엄마를 미워해도 괜찮아,김윤담,다람,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147179168/M,
장미와 나이프,히가시노 게이고,반타,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147973762/M,
지극히 사적인 일본 : 전 아사히신문 기자가 솔직하게 말하는 요즘 일본,나리카와 아야,틈새책방,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147976855/M,
만화로 보는 1분 철학 관계수업,서정욱,중앙북스(books),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148036606/M,
밤새들의 도시,김주혜,다산책방,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147627344/M,
"혹시, 돈 얘기해도 될까요?",주언규,필름,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147690856/M,
기억은 눈을 감지 않는다,에이프릴 발라시오,반타,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148180964/M,
영어는 그림으로 : 보기만 해도 알 수 있다!,마크(무라키 코우지),레드스톤,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148189557/M,
우리집 강아지에게 양자역학 가르치기 : 나의 첫 양자 수업,채드 오젤,21세기북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148198085/M,
구월의 보름,R. C. 셰리프,다산책방,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148751855/M,
여름은 고작 계절,김서해,위즈덤하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148912764/M,
두 달만에 하프 마라톤 정복하기 : 39살 아저씨의 하프 마라톤 완주기,김호종,작가와,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148023057/M,
이제 막 스케치를 시작했을 뿐이야!,정정혜,자음과모음,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148123939/M,
경이로운 생존자들,스티브 브루사테,위즈덤하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148127888/M,
"야만의 해변에서 : 아메리카 원주민, 대항해 시대의 또다른 주인공",캐럴라인 도즈 페넉,까치(까치글방),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148139037/M,
"마음의 소리가 들릴 때, 진짜 회복이 시작된다",민수진,샨티스토리,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148091150/M,
"저속노화 마인드셋 : 노년내과 의사가 알려주는, 내 몸의 주도권을 되찾고 무너진 삶을 회복하는 법",정희원,웨일북,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148341946/M,
넥스트 워커,이중학,클라우드나인,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148341952/M,
세상에서 가장 짧은 경제사 : 5000년 부의 흐름을 읽는,앤드루 리,웅진지식하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148342564/M,
아티스트 웨이 심화편,줄리아 캐머런,위즈덤하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148343027/M,
고래눈이 내리다,김보영,래빗홀,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148343260/M,
"우린 좋은 어른이 될 거야 : 불평등의 최전선, 교육 현장으로 들어간 한 소셜벤처의 실험과 가능성",점프 편,옐로브릭,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148369130/M,
폭싹 13살 됐수다 : 반짝이는 13살 기록 중입니다,"이채령,정유진,이설,김하율",지식과감성#,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149388353/M,
열어보지 말 것,쓰네카와 고타로,그늘,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/152848730/M,
일잘러 팀장의 실전 해법 노트 : 17년간 실전에서 부딪히며 익힌 직장인 생존 기술과 일머리 공식,성장러너,작가와,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148085575/M,
깬다 : 청소년문학124,서동찬,(주)자음과모음,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148123941/M,
생각의 주도권을 디자인하라 : AI를 도구를 넘어 무기로 만드는 질문의 힘,박용후,경이로움,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149120497/M,
"AI, 글쓰기, 저작권 : 생성형 인공지능 시대, 창작은 어떻게 바뀌는가",정지우,마름모,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148032632/M,
"모든 게 처음인 브랜드의 무기들 : 작은 가게부터 나 홀로 사장까지, 비즈니스 성장을 위한 5단계 전략",초인 윤진호,갈매나무,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148041939/M,
강박장애를 이겨낸 정신과 의사입니다,"가메이 시로,마쓰나가 히사토",서울의학서적,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148371312/M,
청년은 오늘도 첼로를 연주합니다 : 시청각장애인 박관찬의 삶과 도전,박관찬,꿈꿀자유,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148371315/M,
간절히 말하면 기적처럼 이루어진다,이유진,유노북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148569285/M,
THE AI가 묻고 미래가 답하다 : AI는 어떻게 세상을 다시 설계하는가?,"김동원,구아현,유덕규",황금부엉이,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148703159/M,
비 오는 날은 뭐 하고 놀지? : 첼로 연주에 귀를 기울이면 마법이 시작된다,원 애닝 글그림,지성주니어,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147569688/M,
생각하라 그리고 부자가 되어라,나폴레온 힐,넥스웍,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/147794666/M,
끝까지 해내는 뇌,카이라 보비넷,갤리온,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148320614/M,
"이제 나는 명랑하게 살기로 했다 : 몸은 가볍게, 마음은 즐겁게 살고 싶은  중장년을 위한 유쾌하고 건강한 삶의 지침서","이호선,김사랑",오아시스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148673727/M,
파우스터,김호연,위즈덤하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148697960/M,
이혼해도 안 죽어요,김정희,설렘(SEOLREM),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148732105/M,
신주로,요코미조 세이시,시공사,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148732402/M,
너를 아끼며 살아라 : 나태주 시인이 들려주는 가장 소중한 말,나태주,더블북,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148406405/M,
"어른이지만, 용기가 필요해 : 도망가고 싶지만 오늘도 이불 밖으로 나와 ‘나‘로 살기 위해 애쓰는 모든 어른들에게",김유미,나무사이,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149125127/M,
칠순에 떠난 86일의 유럽 자동차여행 : 역사와 자연에서 낭만과 진리를 찾아 나선 유쾌한 도전의 기록,송봉근,북랩,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148180958/M,
하늘을 건너는 교실,이요하라 신,팩토리나인,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148406125/M,
60세부터 머리가 점점 좋아진다,와다 히데키,지상사,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148418786/M,
스위치온 다이어트 레시피북 : 살찌지 않는 건강한 몸으로 되돌리는 4주 다이어트 식단,"박용우,김영아",루미너스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148419633/M,
"아무튼, 리코더",황선우,코난북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148837178/M,
두선생의 지도로 읽는 세계사 : 동양 편 : 지리로 ‘역사 아는 척하기’ 시리즈,한영준,21세기북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148786935/M,
불안에 관하여,베레나 카스트,을유문화사,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148806329/M,
겸손한 투자자,다니엘 라스무센,국일증권경제연구소,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148828631/M,
"과학의 최전선 : 노화 연구에서 우주 탐사까지, 인류의 미래를 향한 지적 여행",패트릭 크래머,21세기북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148831554/M,
어떻게 어른이 되는가 : 너와 나의 인간다움을 지키는 최소한의 삶의 덕목,엄성우,추수밭,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150109074/M,
열세 살의 트라이앵글,최인정 글,샘터,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148716727/M,
헌법의 순간 : 대한민국을 설계한 20일의 역사,박혁,페이퍼로드,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148757250/M,
부모의 감정 어휘력 : 아이의 감정은 선명하게 밝혀 주고 부모의 말은 풍성해지는 102가지 마음의 언어,김종원,카시오페아,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148787368/M,
"드디어 만나는 천문학 수업 : 블랙홀부터 암흑 물질까지, 코페르니쿠스부터 허블까지, 인류 최대의 질문에 답하는 교양 천문학",캐럴린 콜린스 피터슨,현대지성,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148418781/M,
혼자 기대하고 상처받지 마라 : 관계에 배신당하는 당신을 위한 감정 브레이크 연습,하야시 겐타로,갤리온,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149125133/M,
