title,author,publisher,library,platform,provider,image_url,isbn
흔적,Maple Yip,도서출판 에이에스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801197732776/L4801197732776.jpg,
시선 너머의 지식,윤수용,북플레저,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801193937786/L4801193937786.jpg,
2026 한국이 열광할 세계 트렌드,KOTRA,시공사,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801171258513/L4801171258513.jpg,
"마라톤, 저 뛰어도 될까요?",남혁우,매일경제신문사,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801164847977/L4801164847977.jpg,
말뚝들,김홍,한겨레출판사,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801172133062/L4801172133062.jpg,
빅 퓨처,데이비드 크리스천,북라이프,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801191013994/L4801191013994.jpg,
육아포비아를 넘어서,이미지,동아시아,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808962626766/L4808962626766.jpg,
장미 속의 뱀,온다 리쿠,반타,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801194979068/L4801194979068.jpg,
평생 가는 진짜 공부,전국교사작가협회 책쓰샘,알파에듀,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801175020062/L4801175020062.jpg,
화내며 살기엔 인생이 너무 짧다,이진우,추수밭,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801155402567/L4801155402567.jpg,
생계형 E로 살아가는 I의 사회생활,황유미,퍼스널에디터,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801199312907/L4801199312907.jpg,
챗지피티 시대의 고민 상담,배희열,퍼스널에디터,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801199312914/L4801199312914.jpg,
슬픈 마음 있는 사람,정기현,스위밍꿀,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801193773100/L4801193773100.jpg,
"카인드, 친절한 것이 살아남는다",그레이엄 올컷,비즈니스북스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801162544366/L4801162544366.jpg,
단단한 삶을 위한 자신감 저축,아리카와 마유미,더페이지,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801194156261/L4801194156261.jpg,
사람을 끌어당기는 우아한 말센스,신희영,알토북스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801194655139/L4801194655139.jpg,
세계를 점령한 중독 경제학,쑤친,이든서재,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801194812068/L4801194812068.jpg,
세상을 읽는 안목 서양 건축사,구니히로 조지,북스톤,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801175230034/L4801175230034.jpg,
오늘도 잘 놀다 갑니다,김은영(소풍족),서스테인,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801193388205/L4801193388205.jpg,
워터 문,서맨사 소토 얌바오,클레이하우스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801193235615/L4801193235615.jpg,
최고민수 경제사 특강 2,최고민수(박민수),경이로움,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801194508428/L4801194508428.jpg,
한 권으로 끝내는 로빈의 한국사,로빈의 역사 기록,메가스터디북스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801129715334/L4801129715334.jpg,
