title,author,publisher,library,platform,provider,image_url,isbn
트윈,유진서,위즈덤하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171714804/L4801171714804.jpg,
한국 교회 트렌드 2026,지용근,규장,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801165046539/L4801165046539.jpg,
리얼 오사카: 교토 고베 나라(2026~2027),황성민,한빛라이프,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194725221/L4801194725221.jpg,
여름을 다른 말로 하면,정서연,바른북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801172635825/L4801172635825.jpg,
자동차에 관한 거의 모든 이야기,루카 데 메오,미래의창,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193638843/L4801193638843.jpg,
다크 심리학 2: 휘둘리지 않는 법,다크 인사이트,다크인사이트스튜디오,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193282428/L4801193282428.jpg,
다크 심리학 3: 설득의 법칙,다크 인사이트,다크인사이트스튜디오,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193282435/L4801193282435.jpg,
다크 심리학: 심리 조종의 기술,다크 인사이트,다크인사이트스튜디오,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193282411/L4801193282411.jpg,
엉뚱한 고민 상담소,최정아,코이북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801139422406/L4801139422406.jpg,
인생은 호르몬,데이비드 JP 필립스,윌북,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801155818528/L4801155818528.jpg,
저소비 생활,가제노타미,알에이치코리아,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808925573229/L4808925573229.jpg,
참 괜찮은 말들,박지현,메이븐,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801199092946/L4801199092946.jpg,
파과 각본집,민규동,위즈덤하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171715085/L4801171715085.jpg,
