title,author,publisher,library,platform,provider,image_url,isbn,brcd,ctts_dvsn_code,ctgr_id,sntn_auth_code
숨 쉴 때마다 새로운 내가 된다면,마셜 골드스미스,한국경제신문,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4808947548847/L4808947548847.jpg,,4808947548847,001,030101,
오십의 기술,이호선,카시오페아,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801168271044/L4801168271044.jpg,,4801168271044,001,031115,
자연스러운 인체 드로잉,박경선,동양북스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801157685272/L4801157685272.jpg,,4801157685272,001,290505,
챗GPT 사용설명서 : 일주일 만에 대화형 인공지능 챗봇 완전 정복,송준용 저,여의도책방,동대문구 도서관,Kyobo_New,YES24,https://e-book.l4d.or.kr/upload/20244/content/DRMContent/YES24/bookimg/410780551.jpg,,118266942,001,0101,
표류하는 세계,스콧 갤러웨이,리더스북,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4808901270234/L4808901270234.jpg,,4808901270234,001,010101,
하우스메이드,프리다 맥파든,북플라자,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801190157552/L4801190157552.jpg,,4801190157552,001,110303,
100가지 동물로 읽는 세계사,사이먼 반즈,현대지성,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801139710763/L4801139710763.jpg,,4801139710763,001,1707,
개발자를 위한 챗GPT 활용법,오현석,심통,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801197973025/L4801197973025.jpg,,4801197973025,001,2101,
"동자동, 당신이 살 권리",빈곤의 인류학 연구팀,글항아리,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801169090972/L4801169090972.jpg,,4801169090972,001,1501,
치매에서의 자유,안드레아스 모리츠,에디터,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4808967442538/L4808967442538.jpg,,4808967442538,001,2301,
156층 나무 집,앤디 그리피스,시공주니어,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801169256057/L4801169256057.jpg,,4801169256057,001,330505,
[무료특별판] 왕초보 판매자도 파워셀러가 되는 네이버 스마트스토어 시작하기(최신 개정판),서미진,한빛미디어,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/480D230387890/L480D230387890.jpg,,480D230387890,001,2103,
기적의 집밥책,김해진,청림라이프,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801198161414/L4801198161414.jpg,,4801198161414,001,252303,
나는 가정보육을 선택했다,박세경,생각의빛,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801168140289/L4801168140289.jpg,,4801168140289,001,3109,
무엇이 개를 힘들게 하는가!,권기진,좋은땅,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801138817364/L4801138817364.jpg,,4801138817364,001,271105,
서울대 지원자들이 가장 많이 읽은 책 20,박균호,센시오,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801166570996/L4801166570996.jpg,,4801166570996,001,3511,
알래스카 한의원,이소영,사계절,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801169811270/L4801169811270.jpg,,4801169811270,001,110101,
우울한 마음도 습관입니다,박상미,저녁달,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801189217168/L4801189217168.jpg,,4801189217168,001,0745,
장하준의 경제학 강의(리커버),장하준,부키,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4808960519770/L4808960519770.jpg,,4808960519770,001,010101,
장하준의 경제학 레시피,장하준,부키,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4808960519794/L4808960519794.jpg,,4808960519794,001,010101,
챗GPT 교육혁명,정제영,포르체,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801192730302/L4801192730302.jpg,,4801192730302,001,0733,
하버드대학 토론수업,명대성,팬덤북스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801161692396/L4801161692396.jpg,,4801161692396,001,0303,
경매 초보가 꼭 알아야 할 질문 TOP 88,투자N,동양북스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801157688648/L4801157688648.jpg,,4801157688648,001,010905,
미라클 씽킹,윤태성,시크릿하우스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801192312416/L4801192312416.jpg,,4801192312416,001,031105,
상사 때문에 퇴사하고 싶은 너에게,메리 아바제이,위즈덤하우스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801168126054/L4801168126054.jpg,,4801168126054,001,0309,
오후도 서점 꿈 이야기,무라야마 사키,클,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801192512205/L4801192512205.jpg,,4801192512205,001,110501,
울트라셀프,이리앨,다산북스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801130655551/L4801130655551.jpg,,4801130655551,001,031107,
