title,author,publisher,library,provider,platform,image_url,isbn,goods_id
동굴을 믿어줘,우미옥 글,파랑새,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109368434/M,,109368434
아홉 개의 시간이 흐르는 나라가 있다고?,서해경 글,파랑새,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109368436/M,,109368436
강대국만 핵무기를 가져야 할까?,조홍식 글,나무를심는사람들,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109381317/M,,109381317
모든 사람에게 사랑받을 필요는 없다,이평,스튜디오오드리,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109343929/M,,109343929
사랑받은 아이는 흔들리지 않는다,"린다 해트필드,타이 해트필드,웬디 토마스 러셀",빌리버튼,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109347371/M,,109347371
퇴근한 김에 퇴사까지,신건희,페스트북,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109320008/M,,109320008
대단한 실수,김주현 글,만만한책방,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109560992/M,,109560992
비행기에서 쓴 비밀 쪽지,임정진 글,그린애플,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/111137050/M,,111137050
"바로 알고, 바로 쓰는 빵빵한 어린이 수수께끼",박빛나 글그림,유앤북,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/110709733/M,,110709733
십 대를 위한 감정의 인문학 카페,정수임,팜파스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/112348476/M,,112348476
당신이 알던 MBTI는 진짜 MBTI가 아니다,고영재,인스피레이션,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109383332/M,,109383332
내 이름은 십민준 : 공포의 십구 단,이송현 글,위즈덤하우스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109384361/M,,109384361
[단독] 위닝 컬러 WINNING COLOR,이랑주,지와인,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109384466/M,,109384466
팬이,김영리,특별한서재,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109213005/M,,109213005
돈그릇을 키우는 6가지 방법,김승현,앤페이지,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109381057/M,,109381057
나를 죽이는 건 언제나 나였다,기타노 유이가,동양북스(동양books),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109383335/M,,109383335
"아무튼, 노래",이슬아,위고,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109384467/M,,109384467
마음버스,김유 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157360/M,,109157360
좋은 도둑들,캐서린 런델,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157368/M,,109157368
주세요 주세요,신혜영 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157369/M,,109157369
"짝궁둥이 삐리, 조선 최초의 신부를 만나다",양자현 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157370/M,,109157370
치카왕자,박정희 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157371/M,,109157371
콩알 아이,윤여림 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157372/M,,109157372
티나의 종이집,김개미 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157373/M,,109157373
"손수조, 장례지도사가 된 청년 정치인",손수조,예미,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109209026/M,,109209026
[단독] 절벽의 밤,미치오 슈스케,청미래,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109538079/M,,109538079
