title,author,publisher,library,platform,provider,image_url,isbn
양면의 조개껍데기,김초엽,래빗홀,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801168343109/L4801168343109.jpg,
세상을 뒤집은 과학기술의 역사,시라토리 케이,시그마북스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801168623973/L4801168623973.jpg,
2025 제8회 한국과학문학상 수상작품집,고선우,허블,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801193078663/L4801193078663.jpg,
광합성 인간,린 피플스,흐름출판,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4808965967415/L4808965967415.jpg,
마약 전쟁,요한 하리,어크로스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801167742309/L4801167742309.jpg,
클래식이 알고 싶다: 인상 카페 편,안인모,위즈덤하우스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801171714866/L4801171714866.jpg,
김대석 셰프의 집밥 레시피 3,김대석,경향BP,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4808969526281/L4808969526281.jpg,
"취향 가득, 타이베이",옥취영,클,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801194374436/L4801194374436.jpg,
하우스메이드 3,프리다 맥파든,북플라자,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801193324555/L4801193324555.jpg,
중독은 뇌를 어떻게 바꾸는가,저드슨 브루어,알에이치코리아,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4808925573373/L4808925573373.jpg,
민주당을 떠나며,털시 개버드,메디치미디어,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801157064657/L4801157064657.jpg,
