title,author,publisher,library,platform,provider,image_url,isbn
퇴마록 외전1,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654811/L4801194654811.jpg,
퇴마록 외전2,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654804/L4801194654804.jpg,
퇴마록 외전3,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654798/L4801194654798.jpg,
퇴마록 혼세편 2,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654897/L4801194654897.jpg,
퇴마록 혼세편 3,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654880/L4801194654880.jpg,
퇴마록 혼세편 4,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654873/L4801194654873.jpg,
퇴마록 혼세편1,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654903/L4801194654903.jpg,
더 늦기 전에 시작하는 생태환경사수업,전국역사교사모임,휴머니스트,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801170872543/L4801170872543.jpg,
마침내 특이점이 시작된다,레이 커즈와일,비즈니스북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801162544250/L4801162544250.jpg,
과자 사면 과학 드립니다,정윤선,풀빛,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194636213/L4801194636213.jpg,
쓸모 있는 사고를 위한 최소한의 철학,이충녕,쌤앤파커스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194755358/L4801194755358.jpg,
제4의 공간,조현민,쌤앤파커스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194755341/L4801194755341.jpg,
챗대리의 따라하면 바로 되는 AI 마케팅 자동화,챗대리(박진주),로드북,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193229317/L4801193229317.jpg,
무엇도 홀로 존재하지 않는다,카를로 로벨리,쌤앤파커스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194755211/L4801194755211.jpg,
붙잡지 않는 삶,에크하르트 톨레,스노우폭스북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194966006/L4801194966006.jpg,
언어가 세계를 감각하는 법,케일럽 에버렛,위즈덤하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801171714279/L4801171714279.jpg,
인생의 컨닝페이퍼,박종경,토네이도,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801158513178/L4801158513178.jpg,
주민의 헌법,박주민,메가스터디북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801129714559/L4801129714559.jpg,
별다방 바리스타,송유정,자음과모음,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808954452649/L4808954452649.jpg,
남프랑스 홀리데이(2025-2026),맹지나,꿈의지도,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801167621222/L4801167621222.jpg,
동공이 약사의 알찬 약국,동공이 약사,미래의창,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193638652/L4801193638652.jpg,
미중 화폐전쟁,조경엽,미래의창,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193638706/L4801193638706.jpg,
자연은 계산하지 않는다,로빈 월 키머러,다산초당,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801130666236/L4801130666236.jpg,
10분 후딱 김밥 레시피 100,후딱 레시피,청림라이프,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193842325/L4801193842325.jpg,
76층 탐정,정명섭,팩토리나인,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194755273/L4801194755273.jpg,
광물 전쟁,어니스트 샤이더,위즈덤하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801171714217/L4801171714217.jpg,
인생의 연금술,이하영,웅진지식하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808901294858/L4808901294858.jpg,
절망의 구,김이환,북다,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/480D250592480/L480D250592480.jpg,
Being (my)self : 나다움,방탄렌즈의 지혜,북아지트,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801199165404/L4801199165404.jpg,
대충의 자세,하완,웅진지식하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808901295350/L4808901295350.jpg,
맹자 인생수업: 세상의 소란 속에서 나를 지키는 50가지 맹자의 가르침,맹자,하이스트,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193282237/L4801193282237.jpg,
