title,author,publisher,library,image_url,isbn,provider,platform
박명 하 [전자책],한용운,작가문화,서울도서관 (API),,,,Mixed
"다시, 봄 [전자책]",장영희,샘터사,서울도서관 (API),,,,Mixed
로지와 존 [전자책],피에르 르메트르,다산책방,서울도서관 (API),,,,Mixed
맨스필드 파크 [전자책],제인 오스틴,지만지(지식을만드는지식),서울도서관 (API),,,,Mixed
밥이 고맙다 [전자책],이종완,모아북스,서울도서관 (API),,,,Mixed
봉신연의 [전자책],허중림,지만지(지식을만드는지식),서울도서관 (API),,,,Mixed
붉은 매듭 [전자책],정연주,낙산재,서울도서관 (API),,,,Mixed
빠리의 기자들 [전자책],고종석,새움,서울도서관 (API),,,,Mixed
살인예언자 1 [전자책],딘 쿤츠,다산책방,서울도서관 (API),,,,Mixed
살인예언자 2 [전자책],딘 쿤츠,다산책방,서울도서관 (API),,,,Mixed
살인예언자 4 [전자책],딘 쿤츠,다산책방,서울도서관 (API),,,,Mixed
삼성 컨스피러시 [전자책],김진명,새움,서울도서관 (API),,,,Mixed
소년의 비애 : 이광수 중단편선집 [전자책],이광수,애플북스,서울도서관 (API),,,,Mixed
대한민국에서 가장 쉬운 영작문 [전자책],"강현진, J. J. Graham",와이비엠,서울도서관 (API),,,,Mixed
동영상으로 학습하는 CNN 청취 초보 탈출 [전자책],YBM 편집국,와이비엠,서울도서관 (API),,,,Mixed
완전초보 영어회화 [전자책],김지완,와이비엠,서울도서관 (API),,,,Mixed
척 보고 척 말하는 여행영어 [전자책],Margaret Chung,와이비엠,서울도서관 (API),,,,Mixed
니하오 중국어 회화 : 초급편 [전자책],김현철,와이비엠,서울도서관 (API),,,,Mixed
회화를 위한 거꾸로 영문법 [전자책],이정아,어문학사,서울도서관 (API),,,,Mixed
하늘은 왜 파랗죠 : 부모가 꼽은 아이들이 묻는 과학 난제 [전자책],이영란,풀과바람,서울도서관 (API),,,,Mixed
(온 가족이 함께 읽는 동시) 바다가 그린 그림 [전자책],정대성,아동문예사,서울도서관 (API),,,,Mixed
新 황태자비 납치사건 [전자책],김진명,새움,서울도서관 (API),,,,Mixed
아딜리와 형들 [전자책],샤반 로버트,지만지(지식을만드는지식),서울도서관 (API),,,,Mixed
화폐로 보는 이웃나라 세계유산 2 [전자책],"배원준, 김온유 저; 신명환 그림",꿈꾸는사람들,서울도서관 (API),,,,Mixed
[어린이 인문 시리즈] 법은 왜 필요할까요 [전자책],정수현,나무생각,서울도서관 (API),,,,Mixed
[키다리그림책] 내 빤쓰 [전자책],박종채,키다리,서울도서관 (API),,,,Mixed
(모든 한국어 시험에 통하는) 우리말 겨루기 : 사자성어 [전자책],임무출,다산초당,서울도서관 (API),,,,Mixed
(모든 한국어 시험에 통하는) 우리말 겨루기 : 순우리말 [전자책],임무출,다산초당,서울도서관 (API),,,,Mixed
외식의 품격 : 빵에서 칵테일까지 당신이 알아야 할 외식의 모든 것 [전자책],이용재,오브제,서울도서관 (API),,,,Mixed
행동하는 예수 [전자책],김근수,메디치미디어,서울도서관 (API),,,,Mixed
근대의 세 번역가 : 서재필·최남선·김억 [전자책],김욱동,소명출판,서울도서관 (API),,,,Mixed
"명작을 읽을 권리 : 작품이, 당신의 삶에 말을 걸다 [전자책]",한윤정,어바웃어북,서울도서관 (API),,,,Mixed
알베르 카뮈 : 태양과 청춘의 찬가 [전자책],알베르 까뮈,토담미디어,서울도서관 (API),,,,Mixed
뚝딱 교양상식 : 하룻밤에 정리하는 한국사회의 14가지 쟁점 [전자책],오승현,다산에듀,서울도서관 (API),,,,Mixed
호모 볼런타스 : 자원봉사하는 인간 [전자책],이성록,미디어숲,서울도서관 (API),,,,Mixed
남자가 남자에게 [전자책],이진수,미다스북스,서울도서관 (API),,,,Mixed
