title,author,publisher,library,image_url,isbn
(을유세계문학전집 13) 꿈,에밀 졸라,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 14) 라이겐,아르투어 슈니츨러,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 16) 소송,프란츠 카프카,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 18) 빌헬름 텔,프리드리히 폰 실러,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 2) 마의 산 (하),토마스 만,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 21) 워싱턴 스퀘어,헨리 제임스,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 24) 좁은 문 전원 교향곡,앙드레 지드,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 25) 예브게니 오네긴,알렉산드르 푸슈킨,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 26) 그라알 이야기,크레티앵 드 트루아,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 3) 리어 왕 맥베스,윌리엄 셰익스피어,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 31) 라 셀레스티나,페르난도 데 로하스,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 32) 고리오 영감,오노레 드 발자크,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 33) 키 재기 외,히구치 이치요,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 34) 돈 후안 외,티르소 데 몰리나,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 35) 젊은 베르터의 고통,요한 볼프강 폰 괴테,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 37) 죽은 혼,니콜라이 고골,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 38) 워더링 하이츠,에밀리 브론테,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 39) 이즈의 무희 천 마리 학 호수,가와바타 야스나리,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 4) 골짜기의 백합,오노레 드 발자크,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 41)젊은 의사,미하일불가코프,을유문화사,서초구 전자도서관 (YES24),,
(을유세계문학전집 9) 어둠의 심연,조지프 콘래드,을유문화사,서초구 전자도서관 (YES24),,
(저학년문고1) 누가내이빨좀닦아줘,우리누리,대교출판,서초구 전자도서관 (YES24),,
(저학년문고14) 별이된일곱쌍둥이,신순재,대교출판,서초구 전자도서관 (YES24),,
(책마루 세계명작) 백조 왕자,한스 크리스티안 안데르센,두산동아,서초구 전자도서관 (YES24),,
(책마루 세계명작) 알라딘과 요술램프,아라비아 민담,두산동아,서초구 전자도서관 (YES24),,
(책마루 세계명작) 크리스마스 캐럴,찰스 디킨스,두산동아,서초구 전자도서관 (YES24),,
(책마루 세계명작)손오공,오승은,두산동아,서초구 전자도서관 (YES24),,
(통통슬기나라) 가을로 변해라 얍!,김상희,중앙교연,서초구 전자도서관 (YES24),,
(통통슬기나라) 그건 좋은 꿈이야,권태문,중앙교연,서초구 전자도서관 (YES24),,
(통통슬기나라) 금달걀을 쑥쑥,권태문,중앙교연,서초구 전자도서관 (YES24),,
(통통슬기나라) 까치와 덩굴손,권태문,중앙교연,서초구 전자도서관 (YES24),,
(통통슬기나라) 꿀먹은 벙어리가 된 또리,김혜경,중앙교연,서초구 전자도서관 (YES24),,
(통통슬기나라) 나 좀 풀어줘,김영이,중앙교연,서초구 전자도서관 (YES24),,
